Publication Id,Publication Name,Publication/Child Child ID,Issue Text - Original ,Publication Author,Publication Type ID,Publication Type,Publication/Child Rel ID,Review Date,Review Outcome ID,Review Outcome,Review Pages,Review ID,Reject Reason Code,Reject Reason
21895,High School DxD #2,39,# 2,Hiroji Mishima,31,Book,45908,1/4/2022,2,Rejected All,,46346,42,containing pictorially explicit nudity
101,Outlaw Biker,7336,# 209,,32,Magazine/Newspaper,38186,3/3/2015,2,Rejected All,,38427,11,containing sexually explicit material
1186,Smooth Girl,43,# 22,,32,Magazine/Newspaper,5378,8/7/2012,2,Rejected All,,16705,11,containing sexually explicit material
4482,Dime Piece Magazine,85,# 7,,32,Magazine/Newspaper,11808,9/18/2012,2,Rejected All,,18103,11,containing sexually explicit material
17985,Idolhouse,107,#1,Takayoshi Sano,31,Book,40079,5/7/2019,2,Rejected All,,40375,42,containing pictorially explicit nudity
19887,Son of a Guna,107,#1,Robert George III,31,Book,43220,11/17/2020,2,Rejected All,,43608,47,containing descriptions of security risk group material or activity
1186,Smooth Girl,109,#10,,32,Magazine/Newspaper,5382,7/16/2013,2,Rejected All,,22043,11,containing sexually explicit material
17103,Berserk,174,#11,Kentaro Miura,31,Book,38912,3/3/2015,2,Rejected All,,39181,11,containing sexually explicit material
17103,Berserk,212,#12,Kentaro Miura,31,Book,38913,3/3/2015,2,Rejected All,,39182,11,containing sexually explicit material
2526,Tattoo Life,8512,#120,,32,Magazine/Newspaper,41516,4/7/2020,2,Rejected All,,41870,39,being detrimental to security for the following reason:
17103,Berserk,220,#13,Kentaro Miura,31,Book,38914,3/3/2015,2,Rejected All,,39183,11,containing sexually explicit material
16730,Wild 18+,249,#16,,32,Magazine/Newspaper,37417,6/20/2017,2,Rejected All,,37631,11,containing sexually explicit material
2530,As Is,262,#17,,32,Magazine/Newspaper,8736,7/3/2012,2,Rejected All,,16386,11,containing sexually explicit material
3032,Black Lingerie,274,#18,,32,Magazine/Newspaper,9615,7/16/2013,2,Rejected All,,22065,11,containing sexually explicit material
2530,As Is,291,#19,,32,Magazine/Newspaper,8737,12/18/2012,2,Rejected All,,19017,11,containing sexually explicit material
9201,ASIS Magazine,291,#19,,32,Magazine/Newspaper,17945,3/5/2013,2,Rejected All,,20236,11,containing sexually explicit material
20060,SuperHeros After Dark 2: Nightfall,300,#2,Shade,31,Book,43425,12/15/2020,2,Rejected All,,43814,41,containing pictorially explicit sexual activity
19301,Boxing Workouts,300,#2,,32,Magazine/Newspaper,42441,9/1/2020,2,Rejected All,,42811,40,describing fighting techniques
16562,Foxtail,305,#20,,32,Magazine/Newspaper,41393,2/18/2020,2,Rejected All,,41742,42,containing pictorially explicit nudity
4194,Show Magazine,326,#22,,32,Magazine/Newspaper,11233,8/7/2012,2,Rejected All,,16703,11,containing sexually explicit material
7260,Urban Ink: Blackmen,351,#24,,32,Magazine/Newspaper,15309,5/3/2016,2,Rejected All,,35637,11,containing sexually explicit material
16562,Foxtail,351,#24,,32,Magazine/Newspaper,37109,4/18/2017,2,Rejected All,,37308,11,containing sexually explicit material
2744,Urban Ink,364,#25,,32,Magazine/Newspaper,9000,7/3/2012,2,Rejected All,,16391,11,containing sexually explicit material
5,The Source,372,#253,,32,Magazine/Newspaper,334,10/16/2012,2,Rejected All,,18544,10,encouraging or instructing on the commision of criminal activity
5,The Source,373,#254,,32,Magazine/Newspaper,335,9/18/2012,2,Rejected All,,18274,10,encouraging or instructing on the commision of criminal activity
22616,Start Healthy ,382,#26,Felicia Williams ,32,Magazine/Newspaper,46626,10/18/2022,2,Rejected All,,47077,37,not being included in the original store packaging
848,Heavy Metal,385,#261,,32,Magazine/Newspaper,3900,3/5/2013,2,Rejected All,,20206,11,containing sexually explicit material
848,Heavy Metal,385,#261,,32,Magazine/Newspaper,3900,4/2/2013,2,Rejected All,,20763,11,containing sexually explicit material
848,Heavy Metal,389,#264,,32,Magazine/Newspaper,3903,9/3/2013,2,Rejected All,,22766,11,containing sexually explicit material
1186,Smooth Girl,392,#27,,32,Magazine/Newspaper,5397,8/7/2012,2,Rejected All,,16704,11,containing sexually explicit material
2744,Urban Ink,392,#27,,32,Magazine/Newspaper,9001,8/21/2012,2,Rejected All,,16851,10,encouraging or instructing on the commision of criminal activity
18871,High Society,8596,#280,,32,Magazine/Newspaper,41732,5/5/2020,2,Rejected All,,42090,41,containing pictorially explicit sexual activity
9354,BGM,408,#30,,32,Magazine/Newspaper,18133,4/2/2013,2,Rejected All,,20727,9,describing or encouraging physical violence or group disruption
2744,Urban Ink,408,#30,,32,Magazine/Newspaper,37508,7/18/2017,2,Rejected All,,37731,12,safety and security reasons
382,Cheeks,10005,#301,,32,Magazine/Newspaper,45067,6/15/2021,2,Rejected All,,45480,41,containing pictorially explicit sexual activity
9354,BGM,412,#31,,32,Magazine/Newspaper,18134,4/2/2013,2,Rejected All,,20728,9,describing or encouraging physical violence or group disruption
4758,MMA Sports,420,#36,,32,Magazine/Newspaper,12132,12/18/2012,2,Rejected All,,19402,9,describing or encouraging physical violence or group disruption
17495,Nurse Hitomi&#39;s Monster Infirmary,431,#4,Shake O,31,Book,39496,10/16/2018,2,Rejected All,,39786,41,containing pictorially explicit sexual activity
21896,High School DxD #4,431,#4,Hiroji Mishima,31,Book,45909,1/4/2022,2,Rejected All,,46347,42,containing pictorially explicit nudity
2530,As Is,431,#4,,32,Magazine/Newspaper,8739,12/18/2012,2,Rejected All,,19018,11,containing sexually explicit material
22856,Coke Kings 4,10789,#4 Dope Game Royalty ,T.J. Edwards ,31,Book,46866,2/7/2023,2,Rejected All,,47320,46,containing written sexually explicit material involving the use of force or non-consent
22970,Coke King 4,10789,#4 Dope Game Royalty ,T.J. Edwards,31,Book,46979,3/7/2023,2,Rejected All,,47436,46,containing written sexually explicit material involving the use of force or non-consent
2399,Straight Stuntin,447,#44,,32,Magazine/Newspaper,36629,12/20/2016,2,Rejected All,,36790,11,containing sexually explicit material
16943,EPS,7210,"#46 Mom, Dad and Daughter",Unknown,31,Book,37859,9/19/2017,2,Rejected All,,38091,11,containing sexually explicit material
8577,Don Diva Magazine,458,#48,,32,Magazine/Newspaper,17011,9/18/2012,2,Rejected All,,18245,11,containing sexually explicit material
5275,How It Works ,458,#48,,32,Magazine/Newspaper,12953,7/2/2013,2,Rejected All,,21983,10,encouraging or instructing on the commision of criminal activity
388,Easy Riders,459,#480,,32,Magazine/Newspaper,3325,5/21/2013,2,Rejected All,,21438,10,encouraging or instructing on the commision of criminal activity
21893,Highschool DxD #5,462,#5,Hiroji Mishima,31,Book,45906,1/4/2022,2,Rejected All,,46342,42,containing pictorially explicit nudity
20683,Demonizer Zilch,9523,#5 Final,Milan Matra,31,Book,44224,3/2/2021,2,Rejected All,,44629,42,containing pictorially explicit nudity
22845,Coke Kings,10786,#5 Hard To Kill ,T.J. Edwards ,31,Book,46855,2/7/2023,2,Rejected All,,47310,46,containing written sexually explicit material involving the use of force or non-consent
22962,Coke Kings,10786,#5 Hard To Kill ,T.J. Edwards ,31,Book,46971,3/7/2023,2,Rejected All,,47428,46,containing written sexually explicit material involving the use of force or non-consent
16190,Penthouse Letters,466,#52,Editors of Penthuse,32,Magazine/Newspaper,36464,11/1/2016,2,Rejected All,,36608,11,containing sexually explicit material
388,Easy Riders,7415,#53 2018,,32,Magazine/Newspaper,38375,2/20/2018,2,Rejected All,,38619,11,containing sexually explicit material
388,Easy Riders,7417,#537 April 2018,,32,Magazine/Newspaper,38384,2/20/2018,2,Rejected All,,38628,11,containing sexually explicit material
16944,EPS,7211,#54 The Widow&#39;s Horny Family,Unknown,31,Book,37860,9/19/2017,2,Rejected All,,38092,11,containing sexually explicit material
144,Don Diva,485,#61,,32,Magazine/Newspaper,38354,2/6/2018,2,Rejected All,,38597,10,encouraging or instructing on the commision of criminal activity
16872,EPS,498,#68,Son Loving Father,31,Book,37723,9/5/2017,2,Rejected All,,37953,11,containing sexually explicit material
17715,Magika Swordsman and Summoner,503,#7,Mitsuki Mihara,31,Book,42127,7/21/2020,2,Rejected All,,42492,42,containing pictorially explicit nudity
6560,Dimepiece Magazine,503,#7,,32,Magazine/Newspaper,14495,5/21/2013,2,Rejected All,,21362,11,containing sexually explicit material
1742,SSX Black Men   ,521,#76,,32,Magazine/Newspaper,6986,4/2/2013,2,Rejected All,,20319,11,containing sexually explicit material
16945,EPS,7214,#80 Exposing His Desires,Unknown,31,Book,37862,9/19/2017,2,Rejected All,,38094,11,containing sexually explicit material
17715,Magika Swordsman and Summoner,550,#9,Mitsuki Mihara,31,Book,41601,4/21/2020,2,Rejected All,,41959,42,containing pictorially explicit nudity
307,Transformation,552,#90,,32,Magazine/Newspaper,37418,6/20/2017,2,Rejected All,,37632,11,containing sexually explicit material
3,Tattoos For Men,588,#99,,32,Magazine/Newspaper,184,3/5/2013,2,Rejected All,,20224,11,containing sexually explicit material
16946,EPS,7215,#99 Three Hot Sisters,Unknown,31,Book,37863,9/19/2017,2,Rejected All,,38095,11,containing sexually explicit material
20901,How To Make Love All Night,9698,(And Drive a Woman Wild) Male Multiple Orgasm &amp; Other Secrets for Prolonged Lovemaking,Barbara Keesling,31,Book,44520,4/6/2021,2,Rejected All,,44927,42,containing pictorially explicit nudity
23558,Fifty Shades of Grey,11013,(I),EL James,31,Book,47574,3/5/2024,2,Rejected All,,48029,44,containing written sexually explicit / bestiality related material
21731,Enter Nationalnomics,10338,(The King-dom of Divine Free-dom) The Moorish Code,T. King Connally-Bey,31,Book,45594,7/6/2021,2,Rejected All,,46006,50,containing material influenced by &quot;sovereign citizen&quot; ideology
22294,The Hate Factory ,10630,4/19/2022,G. Hirliman,31,Book,46299,4/2/2013,2,Rejected All,,46740,46,containing written sexually explicit material involving the use of force or non-consent
22297,Shomin Sample 1,10630,4/19/2022,Takafumi Nanatsuki,31,Book,46302,4/2/2013,2,Rejected All,,46743,42,containing pictorially explicit nudity
22295,From Niggas to Gods Part 1,10630,4/19/2022,Akil,31,Book,46300,4/19/2022,2,Rejected All,,46741,10,encouraging or instructing on the commision of criminal activity
22296,Spice &amp; Wolf Vol 1,10630,4/19/2022,Isuna Hasekura,31,Book,46301,4/19/2022,2,Rejected All,,46742,42,containing pictorially explicit nudity
22299,Tarot Book &amp; Card Deck,10630,4/19/2022,Alice Ekrek,31,Book,46304,4/19/2022,2,Rejected All,,46747,42,containing pictorially explicit nudity
22316,The Last Man BOOK 5,10630,4/19/2022,Brian Vaughn ,31,Book,46321,4/19/2022,2,Rejected All,,46765,42,containing pictorially explicit nudity
22333,The Hero,10630,4/19/2022,King Coopa J,31,Book,46338,4/19/2022,2,Rejected All,,46783,45,containing written sexually explicit material involving minors
22338,True Crime Stories ,10630,4/19/2022,Ryan Becker,31,Book,46343,4/19/2022,2,Rejected All,,46788,10,encouraging or instructing on the commision of criminal activity
22347,Chemistry Made Easy,10630,4/19/2022,Study Guide ,31,Book,46352,4/19/2022,2,Rejected All,,46798,39,being detrimental to security for the following reason:
17783,Hybrid x Heart,6063,1,Masamune Kuji,31,Book,39644,12/18/2018,2,Rejected All,,39933,41,containing pictorially explicit sexual activity
20154,Loyal to the Game ,6063,1,T.J. &amp; Jelissa,31,Book,43538,1/5/2021,2,Rejected All,,43929,41,containing pictorially explicit sexual activity
17653,Marijuana Business,7775,1 Edition,Jeff Grissler,31,Book,39361,9/18/2018,2,Rejected All,,39643,10,encouraging or instructing on the commision of criminal activity
22955,Redemption Manual 5.0 Series,10832,1 of 4,McCutsheons Ink,31,Book,46964,3/7/2023,2,Rejected All,,47421,50,containing material influenced by &quot;sovereign citizen&quot; ideology
16244,Freezing,6831,2-Jan,Dall-Young Lim,31,Book,36558,12/6/2016,2,Rejected All,,36711,11,containing sexually explicit material
21216,Snowpiercer,9940,1. The Escape,Jaques Lob &amp; Jean-Marc Rochette,31,Book,44951,6/15/2021,2,Rejected All,,45363,42,containing pictorially explicit nudity
17367,The Hitch Hikers,7526,10 XXX Explicit Stories,Just Plain Bob,31,Book,38727,5/1/2018,2,Rejected All,,38984,11,containing sexually explicit material
3750,Forbidden Knowledge,10368,101 Things Not Everyone Should Know How To Do,M. Powell,31,Book,10691,7/20/2021,2,Rejected All,,46082,6,describing or encouraging escape methods
17907,William Llewellyn&#39;s Anabolics,7982,11th Ed.,William Llewellyn,31,Book,39909,3/5/2019,2,Rejected All,,40202,10,encouraging or instructing on the commision of criminal activity
2866,"Five Percenter, The",690,17.12,,32,Magazine/Newspaper,9300,8/21/2012,2,Rejected All,,16778,10,encouraging or instructing on the commision of criminal activity
17029,Exodus : Bob Marley &amp; the Wailers Exile ,7270,1977 30the Anniversary Edition,Richard Williams,31,Book,38042,11/7/2017,2,Rejected All,,38287,10,encouraging or instructing on the commision of criminal activity
22799,The Redneck Manifesto,699,1997,Jim Goad,31,Book,46809,1/17/2023,2,Rejected All,,47264,49,"containing language or references that espouse hatred towards specific individuals, races, or religions"
17656,48 Laws of Hustling,7776,1st print 2017 June,Ricky St. Julien II,31,Book,39364,9/18/2018,2,Rejected All,,39646,10,encouraging or instructing on the commision of criminal activity
17495,Nurse Hitomi&#39;s Monster Infirmary,6062,2,Shake O,31,Book,39000,6/19/2018,2,Rejected All,,39273,11,containing sexually explicit material
22956,Redemption Manual 5.0 Series,10833,2 OF 4,McCutcheons Ink ,31,Book,46965,3/7/2023,2,Rejected All,,47422,50,containing material influenced by &quot;sovereign citizen&quot; ideology
21216,Snowpiercer,9941,2. The Explorers,Jaques Lob &amp; Jean-Marc Rochette,31,Book,44952,6/15/2021,2,Rejected All,,45364,42,containing pictorially explicit nudity
23209,Fight to Win,10912,20 Techniques that win any Fight,Martin J. Dougherty,31,Book,47223,9/5/2023,2,Rejected All,,47681,40,describing fighting techniques
15184,Lock Down America: Police &amp; Prisons in the Age of Crisis,6510,2008 Ed,Christian Parenti,31,Book,35329,3/15/2016,2,Rejected All,,35407,12,safety and security reasons
16697,Best Women&#39;s Eroica,764,2013,Violet Blue,31,Book,37365,6/6/2017,2,Rejected All,,37579,11,containing sexually explicit material
2399,Straight Stuntin,779,2013-2014 Calendar,,32,Magazine/Newspaper,32015,7/16/2013,2,Rejected All,,32047,11,containing sexually explicit material
16697,Best Women&#39;s Eroica,7057,2014,Violet Blue,31,Book,37366,6/6/2017,2,Rejected All,,37580,11,containing sexually explicit material
2399,Straight Stuntin,6472,2014 Iss 33 7th Year Anniversary,,32,Magazine/Newspaper,32024,11/4/2014,2,Rejected All,,32056,11,containing sexually explicit material
18,F.E.D.S.,6080,2015 Vol 10,,32,Magazine/Newspaper,34255,8/4/2015,2,Rejected All,,34317,10,encouraging or instructing on the commision of criminal activity
14430,The Original Privacy Catalog,5978,2015-2016,Eden Press,31,Book,33885,6/2/2015,2,Rejected All,,33948,10,encouraging or instructing on the commision of criminal activity
16317,The Budk Catalog,6640,2016,,32,Magazine/Newspaper,36678,1/3/2017,2,Rejected All,,36844,12,safety and security reasons
16490,KG Presents Body,6969,2016 Calendar,,32,Magazine/Newspaper,37000,3/21/2017,2,Rejected All,,37188,11,containing sexually explicit material
22798,The Brooklyn Boosters ,10067,2017,Cleve Lewis,31,Book,46808,1/17/2023,2,Rejected All,,47263,10,encouraging or instructing on the commision of criminal activity
23815,Strokers,11101,2023 All Nude Slim Exotica ,The Erotica Notebook,31,Book,47832,6/4/2024,2,Rejected All,,48286,42,containing pictorially explicit nudity
4143,Practical Electrical Wiring ,7758,22nd Edition,H. Richter &amp; F. P. Hartwell,31,Book,11176,9/4/2018,2,Rejected All,,39595,12,safety and security reasons
12896,Defining Contemporary Art,5243,25 Years in 200 Pivotal Artworks,n/a,31,Book,31165,7/15/2014,2,Rejected All,,31168,10,encouraging or instructing on the commision of criminal activity
8580,Atlas of Foreshortening,801,2nd Ed,John Cody,31,Book,17018,9/18/2012,2,Rejected All,,18268,11,containing sexually explicit material
15824,Williams Gynecology Study,802,2nd Edition,"Werner, moschas, Griffith, Beshay, Rahn",31,Book,36076,9/6/2016,2,Rejected All,,36211,11,containing sexually explicit material
16457,The Ultimate Guide to Cunnillingus,802,2nd Edition,Violet Blue,31,Book,36960,3/7/2017,2,Rejected All,,37143,11,containing sexually explicit material
17638,The Basics of Hacking and Penetration Testing,802,2nd Edition,Patrick Engebretson,31,Book,39338,9/4/2018,2,Rejected All,,39621,10,encouraging or instructing on the commision of criminal activity
20050,Shooter&#39;s Bible Guide to AR-15s ,802,2nd Edition,Doug Howlett,31,Book,43411,12/15/2020,2,Rejected All,,43799,5,containing weapon construction procedures
21216,Snowpiercer,9942,3. Terminus,Jaques Lob &amp; Jean-Marc Rochette,31,Book,44953,6/15/2021,2,Rejected All,,45365,42,containing pictorially explicit nudity
12878,Back to Basics,5238,3rd Ed,Abigail R. Gehring,31,Book,31139,7/15/2014,2,Rejected All,,31139,7,describing procedures to brew alcohol or manufacture drugs
19021,Akira,817,4,Katsuhiro Otomo,31,Book,42023,7/7/2020,2,Rejected All,,42386,41,containing pictorially explicit sexual activity
8223,Mechanical Trades,832,4th Edition,Audel,31,Book,16592,7/3/2012,2,Rejected All,,16432,10,encouraging or instructing on the commision of criminal activity
22839,Redemption Manual ,10784,5.0 Series,McCutcheons Ink,31,Book,46849,2/7/2023,2,Rejected All,,47304,50,containing material influenced by &quot;sovereign citizen&quot; ideology
19320,Show Me How,8797,500 Thingsd You Should Know,Derek Fagerstrom &amp; Lauren Smith,31,Book,42485,9/1/2020,2,Rejected All,,42854,39,being detrimental to security for the following reason:
20827,The Black Arts,8606,50th Anniversary,Richard Covendish,31,Book,44414,3/16/2021,2,Rejected All,,44827,8,containing writings in code
4437,Sports Illustrated ,6911,50th Anniversary 2014 Swimsuit Issue,Authors of Sports Illustratred,31,Book,36788,2/7/2017,2,Rejected All,,36962,11,containing sexually explicit material
19021,Akira,7635,6,Katsuhiro Otomo,31,Book,41989,7/7/2020,2,Rejected All,,42352,42,containing pictorially explicit nudity
23624,Automotive Technology ,846,6th Edition,Jack Erjaven,31,Book,47640,4/16/2024,2,Rejected All,,48095,39,being detrimental to security for the following reason:
16524,Curbfeeders,7143,9th Edition,,32,Magazine/Newspaper,37627,8/15/2017,2,Rejected All,,37854,11,containing sexually explicit material
20678,Make Me,9513,A Complete Novel,Beth Kery,31,Book,44198,3/2/2021,2,Rejected All,,44603,43,containing written sexually explicit / sado-masochistic behavior
19797,Vagina University,8942,A Complete Owner&#39;s Manual,Women&#39;s Health,31,Book,43077,11/3/2020,2,Rejected All,,43464,41,containing pictorially explicit sexual activity
23100,"Making 100,000 with CPN",10880,"A Definite Guild About CPN, How To Make 100,00 with CPN and Make More Money Than Ever",Matin Bonnke,31,Book,47112,6/20/2023,2,Rejected All,,47569,10,encouraging or instructing on the commision of criminal activity
23361,Striking a pose ,10963,A Handy Guide to the Male Nude,Anita Kunz,31,Book,47374,12/5/2023,2,Rejected All,,47832,42,containing pictorially explicit nudity
24933,The Streets Bleed Murder 2,11370,A Life for a Life ,Jerry Jackson ,31,Book,48951,9/16/2025,2,Rejected All,,49408,10,encouraging or instructing on the commision of criminal activity
23446,Hurricanes ,8903,A Memoir,Rick Ross,31,Book,47460,1/2/2024,2,Rejected All,,47917,47,containing descriptions of security risk group material or activity
4971,365 Sex Positions ,10093,A New Way Every Day for a Steamy Erotic Year,Lisa Sweet ,31,Book,12442,7/6/2021,2,Rejected All,,45666,42,containing pictorially explicit nudity
23814,The Complete Boxing Handbook,11100,A step by step guide to Boxing ,Peter Karander,31,Book,47831,6/4/2024,2,Rejected All,,48285,40,describing fighting techniques
24814,Snow White,11350,A Survival Story ,Anna J ,31,Book,48832,7/15/2025,2,Rejected All,,49289,45,containing written sexually explicit material involving minors
15289,The Nude Figure,6564,A Visual Referencce for the Artist,Mark Edward Smith,31,Book,35521,5/3/2016,2,Rejected All,,35603,11,containing sexually explicit material
22903,Blackthorns Protection Magic,10812,A Witches Guide to Mental &amp; Physical Self-Defense,Amy Blackthorn,31,Book,46912,3/21/2023,2,Rejected All,,47367,6,describing or encouraging escape methods
19128,Un/sacred,9551,Ablaze 3 Vol. 2,Mirka Andolfo,31,Book,44283,3/2/2021,2,Rejected All,,44687,42,containing pictorially explicit nudity
17710,Caution Slippery When Wet,7814,Adaina - Vol 5,,32,Magazine/Newspaper,39480,10/16/2018,2,Rejected All,,39767,42,containing pictorially explicit nudity
4188,Show: The Art of Sexy Magazine,894,Alexis Texas #4,,32,Magazine/Newspaper,11224,3/5/2013,2,Rejected All,,20269,11,containing sexually explicit material
21042,ATM Magazine Pawgs,9812,Alexis Texas - Volume 1 Issue 1,BBO Magazine.BBOMAG.com,31,Book,44703,4/20/2021,2,Rejected All,,45115,42,containing pictorially explicit nudity
23641,Nepantla,11050,An Anthology dedicated to Queer Poets of Color ,Christopher Soto,31,Book,47657,4/2/2024,2,Rejected All,,48112,9,describing or encouraging physical violence or group disruption
20372,She&#39;s Dickmatized,9338,An Erotic Novella,Tania Marie,31,Book,43823,2/2/2021,2,Rejected All,,44225,43,containing written sexually explicit / sado-masochistic behavior
24693,Reactions,11332,"An Illustrated Exploration of Elements, Molecules, and Changes in the Universe ",Theodore Gray,31,Book,48711,6/17/2025,2,Rejected All,,49168,7,describing procedures to brew alcohol or manufacture drugs
17012,I Love Boy,7273,Appeal Denied 11/21/17.  IM Pink #178762,J Yatrofsky,31,Book,38010,11/7/2017,2,Rejected All,,38255,11,containing sexually explicit material
17051,Mondo Erotica,7277,Appeal Denied 11/27/17,Art by Roberto Baldazzini,31,Book,38072,11/21/2017,2,Rejected All,,38315,11,containing sexually explicit material
834,Time,911,1-Apr-13,,32,Magazine/Newspaper,3728,4/2/2013,2,Rejected All,,20599,9,describing or encouraging physical violence or group disruption
1412,Revolution ,5726,"Apr 14, 2013 Iss 301",,32,Magazine/Newspaper,6230,5/21/2013,2,Rejected All,,21411,9,describing or encouraging physical violence or group disruption
6856,Bound by Ink,936,13-Apr,,32,Magazine/Newspaper,14871,3/5/2013,2,Rejected All,,20261,11,containing sexually explicit material
1,Maxim,936,13-Apr,,32,Magazine/Newspaper,3,4/16/2013,2,Rejected All,,20859,11,containing sexually explicit material
1245,Interview,936,13-Apr,,32,Magazine/Newspaper,5657,4/16/2013,2,Rejected All,,20901,11,containing sexually explicit material
2966,Inked,936,13-Apr,,32,Magazine/Newspaper,9473,4/16/2013,2,Rejected All,,20902,11,containing sexually explicit material
1,Maxim,936,13-Apr,,32,Magazine/Newspaper,3,4/16/2013,2,Rejected All,,20915,11,containing sexually explicit material
8991,Turning the Tide,936,13-Apr,,32,Magazine/Newspaper,17561,4/16/2013,2,Rejected All,,20930,10,encouraging or instructing on the commision of criminal activity
6846,Nuts &amp; Volts:  Everything for Electronics,936,13-Apr,,32,Magazine/Newspaper,14831,5/7/2013,2,Rejected All,,21132,10,encouraging or instructing on the commision of criminal activity
8991,Turning the Tide,936,13-Apr,,32,Magazine/Newspaper,17561,5/7/2013,2,Rejected All,,21311,10,encouraging or instructing on the commision of criminal activity
1,Maxim,939,Apr 2013 #54,,32,Magazine/Newspaper,4,4/2/2013,2,Rejected All,,20701,11,containing sexually explicit material
1,Maxim,940,Apr 2013 Vol 17 #3,,32,Magazine/Newspaper,5,4/2/2013,2,Rejected All,,20309,11,containing sexually explicit material
1082,Discover,941,Apr 2013 Vol 34 #3,,32,Magazine/Newspaper,4989,3/5/2013,2,Rejected All,,20239,10,encouraging or instructing on the commision of criminal activity
8362,Coalition for Prisoners Rights,942,Apr 2013 Vol 37-aa # 4,,32,Magazine/Newspaper,16771,8/6/2013,2,Rejected All,,22278,9,describing or encouraging physical violence or group disruption
290,Muscular Development,943,Apr 2013 Vol 50 #4,,32,Magazine/Newspaper,2822,3/5/2013,2,Rejected All,,20292,10,encouraging or instructing on the commision of criminal activity
174,Playboy,956,"Apr 2013, Vol 60 #3",,32,Magazine/Newspaper,1963,4/2/2013,2,Rejected All,,20337,11,containing sexually explicit material
1,Maxim,958,14-Apr,,32,Magazine/Newspaper,6,4/1/2014,2,Rejected All,,26015,10,encouraging or instructing on the commision of criminal activity
9682,The Red Bulletin,958,14-Apr,,32,Magazine/Newspaper,30845,6/3/2014,2,Rejected All,,30837,10,encouraging or instructing on the commision of criminal activity
388,Easy Riders,6317,16-Apr,,32,Magazine/Newspaper,35426,4/5/2016,2,Rejected All,,35507,11,containing sexually explicit material
834,Time,971,22-Apr-13,,32,Magazine/Newspaper,3730,5/7/2013,2,Rejected All,,21114,12,safety and security reasons
9,Rolling Stone,5932,23-Apr-15,,32,Magazine/Newspaper,33651,4/21/2015,2,Rejected All,,33713,10,encouraging or instructing on the commision of criminal activity
48,Vibe,995,Apr/May 2013,,32,Magazine/Newspaper,954,5/7/2013,2,Rejected All,,21292,9,describing or encouraging physical violence or group disruption
157,Fox Magazine,10421,April 2012 #87,,32,Magazine/Newspaper,45842,9/7/2021,2,Rejected All,,46265,42,containing pictorially explicit nudity
12199,Playboy,5066,14-Apr,,32,Magazine/Newspaper,30252,4/1/2014,2,Rejected All,,30234,11,containing sexually explicit material
152,GQ Magazine,5065,April 2014 Special Issue,,32,Magazine/Newspaper,30241,4/1/2013,2,Rejected All,203,30223,11,containing sexually explicit material
16116,Fighters Only,6951,17-Apr,,32,Magazine/Newspaper,36964,3/7/2017,2,Rejected All,,37147,12,safety and security reasons
14728,Skunk,6951,17-Apr,,32,Magazine/Newspaper,37078,4/4/2017,2,Rejected All,,37274,10,encouraging or instructing on the commision of criminal activity
4334,Easyriders,6950,April 2017 #526,,32,Magazine/Newspaper,36915,3/7/2017,2,Rejected All,,37096,11,containing sexually explicit material
14826,American Survival Guide,6929,April 2017 Vol 6 Iss 4,,32,Magazine/Newspaper,36843,2/21/2017,2,Rejected All,,37021,5,containing weapon construction procedures
388,Easy Riders,7956,19-Apr,,32,Magazine/Newspaper,39850,3/5/2019,2,Rejected All,,40142,42,containing pictorially explicit nudity
9034,The New Yorker,7511,23-Apr-18,,32,Magazine/Newspaper,38812,5/15/2018,2,Rejected All,,39076,11,containing sexually explicit material
8991,Turning the Tide,6543,AprJune 2016 Vol 28 Iss 7,,32,Magazine/Newspaper,35472,4/19/2016,2,Rejected All,,35553,10,encouraging or instructing on the commision of criminal activity
8827,Planet Muscle,5446,AprMay 2013,,32,Magazine/Newspaper,17389,5/7/2013,2,Rejected All,,21059,11,containing sexually explicit material
2966,Inked,5902,AprMay 2015,,32,Magazine/Newspaper,33540,4/7/2015,2,Rejected All,,33598,10,encouraging or instructing on the commision of criminal activity
13937,Blackbelt,5902,AprMay 2015,,32,Magazine/Newspaper,34101,7/7/2015,2,Rejected All,,34164,12,safety and security reasons
2966,Inked,5939,AprMay Iss 68,,32,Magazine/Newspaper,33671,4/21/2015,2,Rejected All,,33733,10,encouraging or instructing on the commision of criminal activity
1412,Revolution ,6347,"Aug 12, 2012 Iss 277",,32,Magazine/Newspaper,6231,8/21/2012,2,Rejected All,,16848,10,encouraging or instructing on the commision of criminal activity
1412,Revolution ,6349,"Aug 19, 2012 Iss 278",,32,Magazine/Newspaper,6233,8/21/2012,2,Rejected All,,16849,10,encouraging or instructing on the commision of criminal activity
2487,Glamour,1116,12-Aug,,32,Magazine/Newspaper,8605,7/17/2012,2,Rejected All,57-58 &amp; 98-99,16576,11,containing sexually explicit material
388,Easy Riders,1120,Aug 2012 #470,,32,Magazine/Newspaper,3330,7/3/2012,2,Rejected All,,16377,11,containing sexually explicit material
1070,Juxtapoz,1126,13-Aug,,32,Magazine/Newspaper,4883,7/16/2013,2,Rejected All,,22073,10,encouraging or instructing on the commision of criminal activity
9684,Ideas &amp; Discoveries,1126,13-Aug,,32,Magazine/Newspaper,18504,8/6/2013,2,Rejected All,,22283,10,encouraging or instructing on the commision of criminal activity
